,Name,MatchScore
0,S01_795.pgm,0.175
0,S01_796.pgm,0.236
0,S01_797.pgm,0.264
0,S01_798.pgm,0.194
0,S01_799.pgm,0.206
0,S01_800.pgm,0.271
0,S01_801.pgm,0.229
0,S01_802.pgm,0.17
0,S01_803.pgm,0.168
0,S01_804.pgm,0.148
0,S01_805.pgm,0.187
0,S01_806.pgm,0.194
0,S01_807.pgm,0.156
0,S01_808.pgm,0.177
0,S01_809.pgm,0.356
0,S01_810.pgm,0.177
0,S01_811.pgm,0.224
0,S01_812.pgm,0.174
0,S01_813.pgm,0.199
0,S01_814.pgm,0.335
0,S01_815.pgm,0.334
0,S01_816.pgm,0.362
0,S01_817.pgm,0.443
0,S01_818.pgm,0.401
0,S01_819.pgm,0.234
0,S01_820.pgm,0.182
0,S01_821.pgm,0.194
0,S01_822.pgm,0.162
0,S01_823.pgm,0.205
0,S01_824.pgm,0.137
0,S01_825.pgm,0.199
0,S01_826.pgm,0.197
0,S01_827.pgm,0.209
0,S01_828.pgm,0.356
0,S01_829.pgm,0.339
0,S01_830.pgm,0.303
0,S01_831.pgm,0.247
0,S01_832.pgm,0.25
0,S01_833.pgm,0.285
0,S01_834.pgm,0.479
0,S01_835.pgm,0.25
0,S01_836.pgm,0.247
0,S01_837.pgm,0.223
0,S01_838.pgm,0.25
0,S01_839.pgm,0.33
0,S01_840.pgm,100
0,S01_841.pgm,100
0,S01_842.pgm,100
0,S01_843.pgm,100
0,S01_844.pgm,100
0,S01_845.pgm,0.562
0,S01_846.pgm,0.561
0,S01_847.pgm,0.547
0,S01_848.pgm,100
0,S01_849.pgm,100
0,S01_850.pgm,100
0,S01_851.pgm,100
0,S01_852.pgm,1.391
0,S01_853.pgm,100
0,S01_854.pgm,100
0,S01_855.pgm,100
0,S01_856.pgm,100
0,S01_857.pgm,0.205
0,S01_858.pgm,0.136
0,S01_859.pgm,0.41
0,S01_860.pgm,0.195
0,S01_861.pgm,100
0,S01_862.pgm,0.214
0,S01_863.pgm,0.21
0,S01_864.pgm,0.196
0,S01_865.pgm,0.591
0,S01_866.pgm,100
0,S01_867.pgm,0.285
0,S01_868.pgm,0.394
0,S01_869.pgm,0.859
0,S01_870.pgm,0.358
0,S01_871.pgm,0.409
0,S01_872.pgm,0.356
0,S01_873.pgm,0.614
0,S01_874.pgm,0.468
0,S01_875.pgm,0.603
0,S01_876.pgm,0.386
0,S01_877.pgm,0.533
0,S01_878.pgm,1.233
0,S01_879.pgm,0.313
0,S01_880.pgm,0.27
0,S01_881.pgm,0.279
0,S01_882.pgm,0.202
0,S01_883.pgm,0.235
0,S01_884.pgm,0.288
0,S01_885.pgm,0.153
0,S01_886.pgm,0.144
0,S01_887.pgm,0.298
0,S01_888.pgm,0.136
0,S01_889.pgm,0.26
0,S01_890.pgm,0.185
0,S01_891.pgm,0.169
0,S01_892.pgm,0.177
0,S01_893.pgm,0.119
0,S01_894.pgm,0.153
0,S01_895.pgm,0.12
0,S01_896.pgm,0.074
0,S01_897.pgm,0.144
0,S01_898.pgm,0.17
0,S01_899.pgm,0.132
0,S01_900.pgm,0.122
0,S01_901.pgm,0.154
0,S01_902.pgm,0.143
0,S01_903.pgm,0.195
0,S01_904.pgm,0.191
0,S01_905.pgm,0.162
0,S01_906.pgm,0.184
0,S01_907.pgm,0.227
0,S01_908.pgm,0.221
0,S01_909.pgm,0.248
0,S01_910.pgm,0.165
0,S01_911.pgm,0.449
0,S01_912.pgm,0.368
0,S01_913.pgm,0.281
0,S01_914.pgm,0.422
0,S01_915.pgm,0.363
0,S01_916.pgm,0.558
0,S01_917.pgm,0.383
0,S01_918.pgm,0.278
0,S01_919.pgm,0.293
0,S01_920.pgm,0.264
0,S01_921.pgm,0.425
0,S01_922.pgm,0.277
0,S01_923.pgm,0.36
0,S01_924.pgm,0.335
0,S01_925.pgm,0.311
0,S01_926.pgm,0.429
0,S01_927.pgm,0.182
0,S01_928.pgm,0.237
0,S01_929.pgm,0.196
0,S01_930.pgm,0.161
0,S01_931.pgm,0.166
0,S01_932.pgm,0.099
0,S01_933.pgm,0.272
0,S01_934.pgm,0.2
0,S01_935.pgm,0.151
0,S01_936.pgm,0.154
0,S01_937.pgm,0.665
0,S01_938.pgm,0.568
0,S01_939.pgm,0.278
0,S01_940.pgm,0.386
0,S01_941.pgm,0.764
0,S01_942.pgm,0.241
